A2M
ABCA3
ABHD11
ABHD14B
ABL1
ABLIM1
ACADVL
ACAP3
ACD
ACOT7
ACP5
ACSF2
ACSS1
ACTB
ACTG1
ACTN4
ACTR1A
ACTR1B
ACTR2
ADAM10
ADAM15
ADAR
ADI1
ADNP
ADRM1
AEBP1
AES
AGPAT2
AGPAT3
AGTRAP
AHNAK
AKAP1
AKR1A1
AKT1
AKT1S1
ALDH18A1
ALDH3B2
ALDH9A1
ALDOA
ALG3
ALKBH5
ALKBH7
ANAPC11
ANGPTL4
ANXA11
ANXA5
AP000769.1
AP1G2
AP1M2
AP1S1
AP2A1
AP2A2
AP2B1
AP2M1
AP2S1
APEH
APEX1
APH1A
APOC1
APOD
APOE
APP
APRT
AR
ARF1
ARFGAP1
ARFGAP2
ARFIP2
ARFRP1
ARHGAP30
ARHGAP35
ARHGAP4
ARHGAP45
ARHGDIA
ARHGDIB
ARID5A
ARIH2
ARL2
ARPC1B
ARPC4
ARPC5
ARPC5L
ARRDC1
ARSA
ARSD
ASAH1
ASCC2
ASMTL
ASS1
ATF4
ATF5
ATG10
ATG13
ATG4B
ATG7
ATG9A
ATOX1
ATP13A1
ATP13A2
ATP1A1
ATP1B1
ATP2A3
ATP5A1
ATP5B
ATP5D
ATP5E
ATP5G1
ATP5G2
ATP5I
ATP5J2
ATP5O
ATP6AP1
ATP6AP2
ATP6V0B
ATP6V0D1
ATP6V1C2
AUP1
AURKAIP1
AXIN1
AXL
AZGP1
B2M
B3GAT3
B4GALNT4
B4GALT1
B4GALT2
B4GALT3
B4GALT7
BACE2
BAD
BAG6
BAP1
BCAM
BCAP31
BCKDK
BCL2L1
BCL3
BEST1
BGN
BIK
BLVRB
BMF
BRD2
BRF1
BRI3
BRK1
BRMS1
BSG
BSPRY
BST2
BTBD2
BTG1
C10orf54
C12orf57
C14orf166
C15orf39
C16orf13
C17orf62
C19orf24
C19orf43
C19orf48
C19orf53
C19orf70
C1QA
C1QB
C1QC
C1R
C1orf122
C1orf198
C1orf43
C3
C4orf48
C5orf45
C6orf1
C6orf62
C7orf50
C9orf142
C9orf16
CACFD1
CADM4
CALCOCO2
CALM1
CALM2
CALM3
CALML5
CALR
CAMK2N1
CANT1
CAP1
CAPG
CAPN1
CAPN2
CAPNS1
CAPS
CAPZA2
CARHSP1
CARM1
CASKIN2
CC2D1A
CCDC124
CCDC152
CCDC57
CCDC85B
CCL5
CCM2
CCND1
CCNI
CCNL2
CCNY
CCS
CCT3
CCT5
CCT6A
CCT7
CD14
CD151
CD164
CD24
CD27
CD276
CD2BP2
CD46
CD52
CD6
CD63
CD68
CD74
CD79A
CD81
CD82
CD9
CD99
CDC123
CDC37
CDC42
CDC42EP1
CDC42EP4
CDCP1
CDH1
CDK10
CDK16
CDK2AP2
CECR1
CENPB
CFD
CFL1
CHCHD1
CHCHD10
CHCHD2
CHD3
CHD4
CHID1
CHMP1A
CHMP2A
CHMP4B
CHMP7
CHPF
CHPF2
CHTF8
CIB1
CIC
CIRBP
CISD3
CKAP4
CKB
CLCN7
CLDN3
CLDN4
CLDN7
CLIC1
CLPTM1
CLPTM1L
CLSTN1
CLTA
CLTC
CLU
CMTM3
CMTM4
CNN2
CNN3
CNOT3
CNP
CNPY2
CNPY3
COG2
COL18A1
COL1A1
